bodyId,type,instance
387347,BM,BM_R
390116,JO-FV,JO-FV_R
390191,BM_MaPa,BM_MaPa_R
391478,BM_InOm,BM_InOm_L
391643,BM_InOm,BM_InOm_R
392311,BM_InOm,BM_InOm_R
393018,BM_InOm,BM_InOm_R
393736,BM_InOm,BM_InOm_R
394013,BM_InOm,BM_InOm_R
396599,GNG494,GNG494_L
400937,BM_InOm,BM_InOm_R
401592,BM,BM_L
402408,BM_InOm,BM_InOm_L
403040,JO-FV,JO-FV_L
404484,BM_InOm,BM_InOm_L
406120,BM_InOm,BM_InOm_R
407092,JO-FV,JO-FV_L
407325,JO-FV,JO-FV_R
408508,BM_InOm,BM_InOm_L
410443,BM_InOm,BM_InOm_L
412938,BM_InOm,BM_InOm_R
413665,BM_InOm,BM_InOm_R
416613,BM_InOm,BM_InOm_R
418026,BM_InOm,BM_InOm_L
422467,BM_InOm,BM_InOm_R
422595,BM_InOm,BM_InOm_R
422978,JO-FV,JO-FV_R
423427,BM_InOm,BM_InOm_L
423550,BM,BM_L
426803,JO-FV,JO-FV_L
428438,BM_InOm,BM_InOm_R
428785,BM_InOm,BM_InOm_L
428880,BM_InOm,BM_InOm_R
429544,BM_InOm,BM_InOm_R
430460,BM_InOm,BM_InOm_R
430903,BM_InOm,BM_InOm_R
432605,BM_InOm,BM_InOm_R
433054,BM_InOm,BM_InOm_R
435077,,
435098,AN05B053,AN05B053_R
441179,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
441612,BM_InOm,BM_InOm_L
441920,,
